id,price_1,date_1,price_2,date_2,perc_change_p2_to_p1,days_between_sale,trans_time,ln_price_1,ln_price_2,epc_100,epc_rating_a,epc_rating_b,epc_rating_c,epc_rating_d,epc_rating_e,epc_rating_f,epc_rating_g,ln_epc_100,imd_score,imd_level,income_score,income_level,emp_score,emp_level,educ_score,educ_level,health_score,health_level,crime_score,crime_level,barrier_score,barrier_level,living_score,living_level,reg_north_east,reg_north_west,reg_yorkshire_and_the_humber,reg_east_midlands,reg_west_midlands,reg_east_of_england,reg_london,reg_south_east,reg_south_west
19,237000,29-04-2004,231000,10-05-2011,-0.025316456,2567,80.46210711,12.37581542,12.35017299,37,0,0,0,0,0,1,0,3.610917913,14048,5,19154,6,15908,5,20965,7,8121,3,9111,3,12828,4,5871,2,0,0,1,0,0,0,0,0,0
20,125000,16-10-2007,109500,27-05-2011,-0.124,1319,58.47790792,11.73606902,11.60367983,71,0,0,1,0,0,0,0,4.262679877,11099,4,17090,6,13845,5,11127,4,17809,6,23364,8,707,1,5272,2,0,0,0,0,0,1,0,0,0
21,23000,14-10-2004,35000,11-04-2008,0.52173913,1275,57.52960632,10.04324949,10.46310334,68,0,0,0,1,0,0,0,4.219507705,1167,1,2894,1,1196,1,5518,2,1339,1,231,1,26013,8,1106,1,0,1,0,0,0,0,0,0,0
22,100000,14-02-2005,100000,30-06-2011,0,2327,76.77880454,11.51292546,11.51292546,50,0,0,0,0,1,0,0,3.912023005,7554,3,7876,3,9778,3,5182,2,8410,3,8466,3,16630,6,4143,2,0,0,0,0,1,0,0,0,0
23,50000,03-10-2005,67500,18-12-2009,0.35,1537,62.94380917,10.81977828,11.11988288,67,0,0,0,1,0,0,0,4.204692619,2890,1,2146,1,1875,1,2286,1,1939,1,12992,4,20344,7,26098,8,1,0,0,0,0,0,0,0,0
24,162500,16-09-2003,222500,12-06-2009,0.369230769,2096,73.0361084,11.99843328,12.31268238,69,0,0,1,0,0,0,0,4.234106505,8398,3,7652,3,7865,3,1325,1,13410,5,20143,7,13896,5,26594,9,0,0,0,0,0,0,0,1,0
25,266000,25-08-2005,400000,30-01-2008,0.503759398,888,48.29619118,12.49125159,12.89921983,73,0,0,1,0,0,0,0,4.290459441,11239,4,9924,4,13832,5,21495,7,6267,2,18098,6,13243,5,3659,2,0,0,0,0,0,0,1,0,0
26,104950,30-05-2002,172500,03-05-2008,0.643639828,2165,74.17622811,11.56123933,12.05815252,58,0,0,0,1,0,0,0,4.060443011,14313,5,12685,4,12121,4,9533,3,7829,3,26818,9,20043,7,25729,8,0,0,0,0,0,1,0,0,0
27,130500,31-10-2005,160500,31-03-2008,0.229885057,882,48.13752092,11.77912851,11.98604922,44,0,0,0,0,1,0,0,3.784189634,16994,6,17625,6,18739,6,19332,6,16804,6,7558,3,20306,7,7792,3,0,0,1,0,0,0,0,0,0
28,65000,10-03-1999,136100,26-04-2010,1.093846154,4065,100.13347,11.08214255,11.82114519,53,0,0,0,0,1,0,0,3.970291914,10653,4,8779,3,16463,6,9600,3,13374,5,7364,3,15806,5,4399,2,0,0,0,0,0,0,0,1,0
29,109950,04-03-2005,117000,01-04-2010,0.064120055,1854,68.8698556,11.607781,11.66992921,70,0,0,1,0,0,0,0,4.248495242,18804,6,21326,7,17034,6,13809,5,15262,5,8580,3,24182,8,21464,7,0,0,1,0,0,0,0,0,0
30,64995,16-04-2004,60500,20-06-2011,-0.069159166,2621,81.2651143,11.08206562,11.01039864,37,0,0,0,0,0,1,0,3.610917913,21874,7,23976,8,22644,7,12472,4,21625,7,22670,7,18236,6,11449,4,0,0,0,0,1,0,0,0,0
31,240000,15-12-2005,270000,09-04-2010,0.125,1576,63.70614396,12.3883942,12.50617724,51,0,0,0,0,1,0,0,3.931825633,10543,4,13116,4,15236,5,24371,8,14359,5,1745,1,8537,3,2869,1,0,0,0,0,0,0,1,0,0
32,58950,08-10-1999,139000,19-10-2009,1.35793045,3664,95.31463863,10.98444491,11.84222921,72,0,0,1,0,0,0,0,4.276666119,14205,5,13640,5,18816,6,12699,4,16030,5,13273,5,17503,6,3669,2,0,0,1,0,0,0,0,0,0
33,46000,28-02-2000,125000,25-03-2008,1.717391304,2948,85.94888544,10.73639668,11.73606902,72,0,0,1,0,0,0,0,4.276666119,4015,2,3931,2,3510,2,6549,2,819,1,11000,4,16800,6,17275,6,0,1,0,0,0,0,0,0,0
34,165000,08-03-2005,207000,23-02-2008,0.254545455,1082,53.14722467,12.01370075,12.24047407,60,0,0,0,1,0,0,0,4.094344562,30688,10,30120,10,30811,10,31858,10,31083,10,21956,7,18529,6,15831,5,0,0,0,0,0,0,0,1,0
35,35500,28-07-1999,78000,18-02-2010,1.197183099,3858,97.67941546,10.47728798,11.26446411,72,0,0,1,0,0,0,0,4.276666119,13752,5,10469,4,11510,4,10268,4,18098,6,17203,6,29704,10,9350,3,0,0,0,0,1,0,0,0,0
36,117000,27-02-2007,110000,05-10-2009,-0.05982906,951,49.92872659,11.66992921,11.60823564,73,0,0,1,0,0,0,0,4.290459441,20403,7,22296,7,24380,8,11623,4,15958,5,25639,8,8640,3,19400,6,0,0,0,1,0,0,0,0,0
37,130450,31-03-2006,135500,05-02-2010,0.03871215,1407,60.32496948,11.77874529,11.81672692,82,0,1,0,0,0,0,0,4.406719247,25847,8,22940,7,23497,8,16643,6,23427,8,23897,8,20568,7,27248,9,0,0,0,0,0,0,0,1,0
38,102000,21-02-2003,148000,07-05-2010,0.450980392,2632,81.4276008,11.53272809,11.90496755,58,0,0,0,1,0,0,0,4.060443011,12337,4,10814,4,14096,5,10490,4,13674,5,10975,4,26458,9,5208,2,0,0,0,0,0,0,0,1,0
39,102000,21-02-2003,148000,07-05-2010,0.450980392,2632,81.4276008,11.53272809,11.90496755,58,0,0,0,1,0,0,0,4.060443011,12337,4,10814,4,14096,5,10490,4,13674,5,10975,4,26458,9,5208,2,0,0,0,0,0,0,0,1,0
40,88000,27-09-2007,72500,04-03-2011,-0.176136364,1254,57.07083074,11.38509209,11.19134184,44,0,0,0,0,1,0,0,3.784189634,27023,9,27608,9,27883,9,20093,7,29773,10,22549,7,6224,2,32519,10,0,0,0,0,0,0,0,1,0
41,249999,07-10-2005,365000,09-12-2011,0.46000584,2254,75.61845849,12.4292122,12.80765263,24,0,0,0,0,0,1,0,3.17805383,5346,2,8041,3,13946,5,29851,10,4626,2,691,1,4873,2,168,1,0,0,0,0,0,0,1,0,0
42,147755,30-09-2004,79000,22-05-2009,-0.465331122,1695,65.9717619,11.90331078,11.27720313,54,0,0,0,0,1,0,0,3.988984047,10221,4,8598,3,6585,3,11797,4,8320,3,17404,6,23209,8,12711,4,0,0,1,0,0,0,0,0,0
43,105000,13-07-2006,109000,30-05-2008,0.038095238,687,42.6252753,11.56171563,11.59910316,80,0,0,1,0,0,0,0,4.382026635,18210,6,15237,5,13568,5,12753,4,12962,4,23299,8,30138,10,26577,9,0,0,0,1,0,0,0,0,0
44,97500,27-05-2003,120000,18-06-2010,0.230769231,2579,80.64132885,11.48760766,11.69524702,75,0,0,1,0,0,0,0,4.317488114,19733,7,22784,7,19335,6,14514,5,19807,7,18526,6,8567,3,17614,6,0,0,0,0,0,0,0,1,0
45,198000,30-01-2004,230000,22-11-2010,0.161616162,2488,79.27086785,12.19602231,12.34583459,66,0,0,0,1,0,0,0,4.189654742,4365,2,5411,2,2597,1,10552,4,3077,1,18941,6,1645,1,15349,5,0,0,0,0,0,0,1,0,0
46,5660000,31-07-2007,7900000,18-07-2011,0.395759717,1448,61.16439615,15.54893445,15.88237332,67,0,0,0,1,0,0,0,4.204692619,19919,7,30813,10,31943,10,32842,10,31813,10,6467,2,10620,4,606,1,0,0,0,0,0,0,1,0,0
47,820000,24-08-2005,1395000,13-03-2008,0.701219512,932,49.442639,13.61705962,14.14840497,45,0,0,0,0,1,0,0,3.80666249,24031,8,30799,10,32557,10,31625,10,32153,10,20759,7,7823,3,1956,1,0,0,0,0,0,0,1,0,0
48,25500,01-08-1996,59950,29-09-2010,1.350980392,5172,112.2451229,10.14643373,11.00126616,80,0,0,1,0,0,0,0,4.382026635,12833,4,28187,9,32202,10,10933,4,2778,1,15912,5,11759,4,1009,1,0,0,1,0,0,0,0,0,0
49,103000,28-01-2005,115000,16-05-2008,0.116504854,1204,55.96167582,11.54248427,11.65268741,64,0,0,0,1,0,0,0,4.158883083,22547,7,26022,8,25757,8,24462,8,22962,7,31119,10,2667,1,14181,5,0,0,0,0,1,0,0,0,0
50,471000,09-09-2005,1200000,15-10-2010,1.547770701,1862,69.0120869,13.06261337,13.99783211,71,0,0,1,0,0,0,0,4.262679877,12352,4,17609,6,20726,7,30772,10,23178,8,1956,1,3227,1,2212,1,0,0,0,0,0,0,1,0,0
51,57000,11-12-1998,143000,01-06-2011,1.50877193,4555,105.6881422,10.95080655,11.87059991,55,0,0,0,1,0,0,0,4.007333185,23597,8,19448,6,23597,8,27265,9,21190,7,12358,4,30031,10,12509,4,0,0,0,0,0,1,0,0,0
52,58000,29-11-2002,96500,04-07-2008,0.663793103,2044,72.16354619,10.96819829,11.47729829,47,0,0,0,0,1,0,0,3.850147602,2454,1,2021,1,5378,2,2334,1,3376,2,6299,2,5676,2,3172,1,0,0,0,0,1,0,0,0,0
53,20000,07-08-2001,42850,06-02-2012,1.1425,3835,97.40243389,9.903487553,10.66546092,71,0,0,1,0,0,0,0,4.262679877,2462,1,2142,1,2474,1,4291,2,1508,1,4801,2,13314,5,11816,4,0,1,0,0,0,0,0,0,0
54,64500,28-03-2002,92500,29-07-2011,0.434108527,3410,92.11473972,11.0744205,11.43496392,70,0,0,1,0,0,0,0,4.248495242,12833,4,28187,9,32202,10,10933,4,2778,1,15912,5,11759,4,1009,1,0,0,1,0,0,0,0,0,0
55,148000,20-11-2006,154000,21-01-2011,0.040540541,1523,62.66762831,11.90496755,11.94470788,46,0,0,0,0,1,0,0,3.828641396,6432,2,6752,3,5862,2,16787,6,10241,4,2568,1,3192,1,11374,4,0,0,0,0,0,0,1,0,0
56,64500,28-03-2002,92500,29-07-2011,0.434108527,3410,92.11473972,11.0744205,11.43496392,70,0,0,1,0,0,0,0,4.248495242,12833,4,28187,9,32202,10,10933,4,2778,1,15912,5,11759,4,1009,1,0,0,1,0,0,0,0,0,0
57,82000,23-03-2007,91000,11-07-2008,0.109756098,476,35.60661279,11.31447453,11.41861479,69,0,0,1,0,0,0,0,4.234106505,13656,5,15315,5,14502,5,13548,5,11321,4,8811,3,30305,10,4944,2,0,1,0,0,0,0,0,0,0
58,55500,02-04-2002,80000,20-03-2009,0.441441441,2544,80.11734074,10.9241383,11.28978191,48,0,0,0,0,1,0,0,3.871201011,24758,8,26246,8,25290,8,29657,10,26522,9,25543,8,5868,2,12490,4,0,0,0,0,1,0,0,0,0
59,105000,09-06-2003,100000,16-02-2009,-0.047619048,2079,72.75213592,11.56171563,11.51292546,65,0,0,0,1,0,0,0,4.17438727,1942,1,1559,1,1805,1,330,1,5173,2,10080,4,10369,4,21142,7,0,0,0,0,0,0,0,0,1
60,32700,25-07-1997,105000,18-01-2008,2.211009174,3829,97.33003166,10.39513036,11.56171563,70,0,0,1,0,0,0,0,4.248495242,28924,9,24239,8,27557,9,27367,9,26452,9,19427,6,31134,10,17503,6,0,0,0,0,0,0,0,1,0
61,175000,14-12-2005,152500,02-11-2011,-0.128571429,2149,73.91360529,12.07254125,11.93491988,81,0,1,0,0,0,0,0,4.394449155,31734,10,31718,10,26475,9,32048,10,26460,9,30456,10,21220,7,27024,9,1,0,0,0,0,0,0,0,0
62,175000,14-12-2005,152500,02-11-2011,-0.128571429,2149,73.91360529,12.07254125,11.93491988,81,0,1,0,0,0,0,0,4.394449155,31734,10,31718,10,26475,9,32048,10,26460,9,30456,10,21220,7,27024,9,1,0,0,0,0,0,0,0,0
63,98950,13-11-2003,116000,14-08-2009,0.172309247,2101,73.11939488,11.50236995,11.66134547,82,0,1,0,0,0,0,0,4.406719247,23732,8,22561,7,24148,8,17991,6,20239,7,19793,7,23507,8,13736,5,0,0,1,0,0,0,0,0,0
64,129000,07-04-2006,96000,30-07-2010,-0.255813953,1575,63.68672389,11.76756768,11.47210347,83,0,1,0,0,0,0,0,4.418840608,8709,3,10517,4,12037,4,6277,2,10120,4,1987,1,12336,4,13041,4,0,0,0,1,0,0,0,0,0
65,126500,27-08-2004,155000,26-11-2009,0.225296443,1917,69.98119342,11.74799759,11.9511804,72,0,0,1,0,0,0,0,4.276666119,11886,4,9421,3,7655,3,9542,3,8303,3,26263,8,27328,9,21731,7,0,0,0,0,1,0,0,0,0
66,399995,14-05-2003,460000,10-02-2011,0.150014375,2829,84.27822133,12.89920733,13.03898177,53,0,0,0,0,1,0,0,3.970291914,18096,6,14734,5,18166,6,13075,4,25037,8,13289,5,16599,6,16005,5,0,0,0,1,0,0,0,0,0
67,399995,14-05-2003,460000,10-02-2011,0.150014375,2829,84.27822133,12.89920733,13.03898177,53,0,0,0,0,1,0,0,3.970291914,18096,6,14734,5,18166,6,13075,4,25037,8,13289,5,16599,6,16005,5,0,0,0,1,0,0,0,0,0
68,399995,14-05-2003,460000,10-02-2011,0.150014375,2829,84.27822133,12.89920733,13.03898177,53,0,0,0,0,1,0,0,3.970291914,18096,6,14734,5,18166,6,13075,4,25037,8,13289,5,16599,6,16005,5,0,0,0,1,0,0,0,0,0
69,229995,28-03-2006,166000,11-05-2011,-0.278245179,1870,69.15399144,12.34581285,12.01974307,79,0,0,1,0,0,0,0,4.369447852,10324,4,11034,4,15773,5,21859,7,20815,7,9846,3,115,1,8801,3,0,0,0,0,0,0,1,0,0
70,229995,28-03-2006,166000,11-05-2011,-0.278245179,1870,69.15399144,12.34581285,12.01974307,79,0,0,1,0,0,0,0,4.369447852,10324,4,11034,4,15773,5,21859,7,20815,7,9846,3,115,1,8801,3,0,0,0,0,0,0,1,0,0
71,52000,30-04-2007,68000,01-10-2008,0.307692308,520,37.19003854,10.858999,11.12726298,35,0,0,0,0,0,1,0,3.555348061,224,1,411,1,143,1,1612,1,23,1,1758,1,24676,8,9092,3,0,1,0,0,0,0,0,0,0
72,66000,30-06-1995,267000,29-02-2008,3.045454545,4627,106.4768593,11.09741002,12.49500394,61,0,0,0,1,0,0,0,4.110873864,14126,5,13385,5,16478,6,23360,8,19360,6,8164,3,3316,2,13492,5,0,0,0,0,0,0,1,0,0
73,58500,24-02-1995,124950,03-04-2008,1.135897436,4787,108.2063599,10.97678203,11.73566894,70,0,0,1,0,0,0,0,4.248495242,21656,7,23519,8,29134,9,29699,10,29518,9,7255,3,7397,3,7985,3,0,0,0,0,0,0,1,0,0
74,620000,06-05-2004,800000,15-01-2010,0.290322581,2080,72.76887452,13.33747476,13.59236701,69,0,0,1,0,0,0,0,4.234106505,31833,10,28120,9,30730,10,32014,10,31415,10,20820,7,31972,10,20457,7,0,0,0,0,0,0,0,1,0
75,53000,06-05-1999,70000,29-11-2011,0.320754717,4590,106.0723736,10.87804719,11.15625052,78,0,0,1,0,0,0,0,4.356708827,11524,4,14741,5,15053,5,12847,4,15195,5,1454,1,13307,5,9523,3,0,0,0,0,1,0,0,0,0
76,83500,24-05-2002,119000,30-11-2009,0.425149701,2747,83.10500749,11.33260191,11.68687877,77,0,0,1,0,0,0,0,4.343805422,12975,4,13142,5,12937,4,15919,5,11073,4,14433,5,4402,2,21161,7,0,0,0,0,1,0,0,0,0
77,81000,31-01-2003,105000,03-09-2010,0.296296296,2772,83.46465796,11.30220443,11.56171563,62,0,0,0,1,0,0,0,4.127134385,16937,6,13393,5,13740,5,12179,4,19507,6,12142,4,26813,9,23495,8,0,0,0,0,0,0,0,1,0
78,42500,30-09-2002,43000,24-09-2010,0.011764706,2916,85.50323598,10.65725935,10.66895539,66,0,0,0,1,0,0,0,4.189654742,26872,9,29465,9,23973,8,28910,9,17755,6,11332,4,30191,10,19752,7,0,1,0,0,0,0,0,0,0
79,80000,12-03-2004,80000,21-09-2010,0,2384,77.67134327,11.28978191,11.28978191,46,0,0,0,0,1,0,0,3.828641396,12500,4,12528,4,11735,4,12919,4,10146,4,11897,4,25004,8,7163,3,0,0,1,0,0,0,0,0,0
80,5660000,31-07-2007,7900000,18-07-2011,0.395759717,1448,61.16439615,15.54893445,15.88237332,67,0,0,0,1,0,0,0,4.204692619,19919,7,30813,10,31943,10,32842,10,31813,10,6467,2,10620,4,606,1,0,0,0,0,0,0,1,0,0
81,37750,10-12-1998,72000,23-04-2010,0.907284768,4152,101.1448816,10.53874075,11.1844214,61,0,0,0,1,0,0,0,4.110873864,18894,6,16154,5,18178,6,21652,7,11223,4,14375,5,28600,9,15388,5,0,1,0,0,0,0,0,0,0
82,26500,08-02-2002,50000,22-12-2010,0.886792453,3239,89.88801284,10.18490001,10.81977828,63,0,0,0,1,0,0,0,4.143134726,3911,2,7098,3,5354,2,3685,2,4241,2,1195,1,29594,10,1564,1,0,0,0,0,1,0,0,0,0
83,230000,29-01-2007,248000,09-12-2011,0.07826087,1775,67.44730298,12.34583459,12.42118403,68,0,0,0,1,0,0,0,4.219507705,14813,5,20532,7,16377,5,23706,8,11773,4,3908,2,26433,9,3808,2,0,0,0,0,0,0,0,0,1
84,77000,11-12-2003,49000,30-07-2009,-0.363636364,2058,72.39962463,11.2515607,10.79957558,3,0,0,0,0,0,0,1,1.098612289,860,1,589,1,1197,1,1730,1,2984,1,2555,1,8092,3,5893,2,0,0,0,0,1,0,0,0,0
85,135000,30-11-2004,152500,06-05-2008,0.12962963,1253,57.04888207,11.81303006,11.93491988,74,0,0,1,0,0,0,0,4.304065093,2816,1,4703,2,6691,3,4019,2,1347,1,835,1,11534,4,3335,2,0,0,1,0,0,0,0,0,0
86,95000,22-08-2005,100000,26-09-2008,0.052631579,1131,54.29705883,11.46163217,11.51292546,68,0,0,0,1,0,0,0,4.219507705,4774,2,3924,2,5021,2,6501,2,9082,3,1373,1,19465,6,7370,3,0,0,0,0,0,0,0,1,0
87,122000,27-10-2004,123000,24-05-2011,0.008196721,2400,77.91982189,11.71177632,11.71993963,55,0,0,0,1,0,0,0,4.007333185,29985,10,25100,8,25807,8,29475,9,25815,8,31138,10,32779,10,15961,5,0,0,0,1,0,0,0,0,0
88,119950,28-02-2005,90500,08-01-2010,-0.245518966,1775,67.44730298,11.69483027,11.41310513,61,0,0,0,1,0,0,0,4.110873864,30307,10,24692,8,26608,9,27853,9,30321,10,25512,8,24291,8,25439,8,0,0,0,1,0,0,0,0,0
89,275000,22-08-2003,375000,07-11-2011,0.363636364,2999,86.65381935,12.52452638,12.8346813,43,0,0,0,0,1,0,0,3.761200116,23166,8,28450,9,28869,9,23385,8,18669,6,14886,5,12345,4,7741,3,0,0,0,0,0,0,0,1,0
90,166000,28-09-2006,142500,25-08-2011,-0.141566265,1792,67.75623991,12.01974307,11.86709728,79,0,0,1,0,0,0,0,4.369447852,11169,4,9604,3,10898,4,17151,6,8362,3,7047,3,25596,8,8348,3,0,0,1,0,0,0,0,0,0
91,103250,23-04-2004,105263,11-12-2009,0.019496368,2058,72.39962463,11.54490851,11.56421726,62,0,0,0,1,0,0,0,4.127134385,19838,7,15451,5,17177,6,14534,5,17061,6,25836,8,27291,9,17740,6,0,0,1,0,0,0,0,0,0
92,35000,28-06-2002,85000,27-06-2008,1.428571429,2191,74.60078363,10.46310334,11.35040654,61,0,0,0,1,0,0,0,4.110873864,14185,5,13404,5,13776,5,12069,4,12829,4,11963,4,20993,7,11567,4,0,0,0,0,1,0,0,0,0
93,40000,28-04-1995,85000,12-04-2010,1.125,5463,115.1920337,10.59663473,11.35040654,73,0,0,1,0,0,0,0,4.290459441,29718,10,28299,9,24890,8,24987,8,19962,7,27073,9,31026,10,26356,9,0,1,0,0,0,0,0,0,0
94,125000,18-09-2003,120000,28-06-2010,-0.04,2475,79.07291051,11.73606902,11.69524702,70,0,0,1,0,0,0,0,4.248495242,5362,2,3843,2,5892,2,7530,3,2825,1,21731,7,7146,3,10577,4,0,0,0,1,0,0,0,0,0
95,40000,30-09-1999,104250,22-12-2011,1.60625,4466,104.7039185,10.59663473,11.55454714,59,0,0,0,1,0,0,0,4.077537444,16130,5,15685,5,12557,4,8940,3,13959,5,24579,8,20426,7,20876,7,0,0,0,0,0,1,0,0,0
96,168000,21-01-2005,165500,11-12-2009,-0.014880952,1785,67.62922143,12.03171926,12.01672647,69,0,0,1,0,0,0,0,4.234106505,25760,8,23251,8,27671,9,29339,9,19314,6,29968,10,31072,10,5084,2,0,0,1,0,0,0,0,0,0
97,40995,25-06-1999,76500,28-02-2011,0.866081229,4266,102.4531561,10.62120539,11.24504602,65,0,0,0,1,0,0,0,4.17438727,17012,6,16860,6,16084,5,20279,7,9533,3,18057,6,18261,6,12681,4,0,0,1,0,0,0,0,0,0
98,163995,30-07-2004,120000,18-12-2009,-0.268270374,1967,70.84936214,12.00759122,11.69524702,83,0,1,0,0,0,0,0,4.418840608,27736,9,28836,9,27861,9,27140,9,23865,8,16773,6,21764,7,13483,5,0,0,1,0,0,0,0,0,0
99,75000,18-07-2003,116500,25-02-2011,0.553333333,2779,83.56504863,11.22524339,11.66564655,66,0,0,0,1,0,0,0,4.189654742,22705,7,22894,7,26773,9,30583,10,14950,5,8942,3,32100,10,7776,3,0,0,1,0,0,0,0,0,0
100,85000,26-06-2003,212000,19-07-2010,1.494117647,2580,80.65624382,11.35040654,12.26434155,73,0,0,1,0,0,0,0,4.290459441,16539,6,16549,6,17969,6,16017,5,23312,8,20154,7,31604,10,1280,1,0,0,0,0,0,0,0,0,1
101,74950,26-05-2000,182000,14-03-2008,1.428285524,2849,84.56159961,11.2245765,12.11176197,45,0,0,0,0,1,0,0,3.80666249,7326,3,8229,3,7411,3,14309,5,3080,1,8737,3,21913,7,3760,2,0,0,1,0,0,0,0,0,0
102,95000,26-09-2000,185000,26-01-2011,0.947368421,3774,96.6634945,11.46163217,12.1281111,64,0,0,0,1,0,0,0,4.158883083,32469,10,31297,10,30205,10,31948,10,30013,10,27365,9,21957,7,31476,10,0,1,0,0,0,0,0,0,0
103,415000,19-12-2002,700000,05-08-2011,0.686746988,3151,88.71753495,12.9360338,13.45883561,71,0,0,1,0,0,0,0,4.262679877,20470,7,30672,10,32693,10,24406,8,32340,10,9323,3,11169,4,841,1,0,0,0,0,0,0,1,0,0
104,147000,21-04-2010,168000,16-03-2011,0.142857143,329,29.65196165,11.89818787,12.03171926,59,0,0,0,1,0,0,0,4.077537444,26503,9,26813,9,27111,9,30750,10,25091,8,25745,8,24469,8,4660,2,0,0,1,0,0,0,0,0,0
